"stripped_cell_line_name","cell_line_name","Sample Name","CCLE_Name","alias","DepMap_ID","COSMIC identifier","Sanger_Model_ID","master_ccl_id","sampleid","Cellosaurus.Accession.id","sex","age","ds_group","ds_type","ds_subtype","characteristics","primary_site","sample_site","metastatic","primary_or_metastasis","depmap_public_comments"
"1156QE8","1156QE/8",NA,"1156QE8_TESTIS",NA,"ACH-001435",NA,NA,NA,NA,NA,"Male",22,"Urogenital","Testicular","NOS",NA,NA,"Embryonal",NA,"Primary",NA
"1205Lu","1205Lu",NA,"1205LU_SKIN",NA,"ACH-002633",NA,"SIDM00972",NA,NA,NA,"Unknown",NA,"Skin","Melanoma","NOS",NA,NA,"lung",NA,NA,NA
"127399","1273/99",NA,"127399_SOFT_TISSUE",NA,"ACH-001270",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","Synovial sarcoma",NA,NA,"soft_tissue",NA,NA,NA
"1321N1",NA,NA,"1321N1_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-001000",NA,NA,NA,NA,NA,"Male",NA,"Nervous system","Glioma","Astrocytoma",NA,NA,"central_nervous_system",NA,NA,NA
"1411H","1411H",NA,"1411H_TESTIS",NA,"ACH-001436",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Testicular","NOS",NA,NA,"Embryonal",NA,"Primary",NA
"143B","143B",NA,"143B_BONE",NA,"ACH-001001",NA,"SIDM00804",NA,NA,NA,"Female",13,"Bone","Bone","Osteosarcoma",NA,NA,"bone",NA,"Primary",NA
"1618K","1618-K",NA,"1618K_TESTIS",NA,"ACH-001437",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Testicular","NOS",NA,NA,"Embryonal",NA,"Primary",NA
"170MGBA","170-MG-BA",NA,"170MGBA_CENTRAL_NERVOUS_SYSTEM",NA,"ACH-002680",NA,NA,NA,NA,NA,"Female",74,"Nervous system","Glioma","Glioblastoma",NA,NA,"central_nervous_system",NA,NA,NA
"176592","1765-92",NA,"176592_SOFT_TISSUE",NA,"ACH-002516",NA,NA,NA,NA,NA,"Unknown",NA,"Soft tissue","Sarcoma","Liposarcoma",NA,NA,"soft_tissue",NA,"Primary",NA
"1777NRPMET","1777N Rpmet",NA,"1777NRPMET_TESTIS",NA,"ACH-001438",NA,NA,NA,NA,NA,"Male",NA,"Urogenital","Testicular","NOS",NA,NA,"Embryonal",TRUE,"Metastasis",NA
